iter,param,Coef,modelName,fileName,nVariables,modelType,DV,SurveyLabel,qGroup
1,Intercept,-1.82997940565435,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
2,Intercept,-1.4238921141256222,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
3,Intercept,-1.70592952482974,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
4,Intercept,-1.5509735735968144,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
5,Intercept,-1.6001733080489946,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
6,Intercept,-1.562619036712213,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
7,Intercept,-1.6772292498125814,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
8,Intercept,-1.8354261391131983,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
9,Intercept,-2.049963196917573,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
10,Intercept,-1.7600867368682402,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
11,Intercept,-1.7509039978944818,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
12,Intercept,-1.9073504492518043,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
13,Intercept,-1.0402374828266676,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
14,Intercept,-0.9703709056634549,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
15,Intercept,-1.944350624511868,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
16,Intercept,-1.678568371633099,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
17,Intercept,-2.0824754843406312,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
18,Intercept,-2.172303582418273,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
19,Intercept,-2.135779955267494,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
20,Intercept,-2.178673834766974,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
21,Intercept,-1.5272851486677144,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
22,Intercept,-1.9128062408610584,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
23,Intercept,-1.6304348783670024,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
24,Intercept,-1.7569636700148208,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
25,Intercept,-2.0357237987096273,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
26,Intercept,-1.6948514534254473,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
27,Intercept,-1.771184947216919,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
28,Intercept,-1.9119100528009525,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
29,Intercept,-1.909758100325253,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
30,Intercept,-1.2092602764481173,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
31,Intercept,-1.8833016465471224,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
32,Intercept,-1.255694229592987,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
33,Intercept,-1.3197951981314695,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
34,Intercept,-1.807673928556781,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
35,Intercept,-0.9624899921498898,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
36,Intercept,-1.971731923799142,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
37,Intercept,-2.118241933248123,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
38,Intercept,-1.929478691831395,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
39,Intercept,-1.5163923007427815,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
40,Intercept,-1.9910120756549392,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
41,Intercept,-1.454439063914603,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
42,Intercept,-1.5933694356930808,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
43,Intercept,-1.4949034596391966,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
44,Intercept,-1.6025298294731405,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
45,Intercept,-1.9945490301698503,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
46,Intercept,-1.804296735328848,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
47,Intercept,-1.7659157065968083,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
48,Intercept,-1.455708869587827,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
49,Intercept,-1.685916954423469,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
50,Intercept,-1.5644154144253508,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
51,Intercept,-1.0636338222656336,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
52,Intercept,-1.2574124418548125,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
53,Intercept,-1.8541462923958296,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
54,Intercept,-1.8345128696672024,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
55,Intercept,-1.2663540644655575,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
56,Intercept,-1.9732387402782017,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
57,Intercept,-1.299189314245882,m_nbinom_randInter_SI,2024_02_14/multivariable/post_nbinom_SI.csv,multivariable,nbinom,Serious Infection,Intercept,Other
